stock,delta_percent,delta_price
JNPR,1.4823752115582887,-100.0
KSU,3.202441072555499,-100.0
K,1.575980063333595,-100.0
KEY,3.348326180061144,-100.0
KEYS,2.1023711598119252,-100.0
KMB,2.369232177734375,-100.0
KIM,2.8738636608180057,-100.0
KMI,2.415772912738494,-100.0
KLAC,4.481704255919867,-100.0
KHC,2.1238012998227513,-100.0
KR,2.094701259386509,-100.0
LB,3.1129033562531827,-100.0
LHX,3.2850156908218278,-100.0
LH,1.506313225489534,-100.0
LRCX,3.4528756086039634,-100.0
LW,2.4213908355298344,-100.0
LVS,2.07220700834736,-100.0
LEG,1.333053513521149,-100.0
LDOS,2.6961614220838315,-100.0
LEN,3.365226514922024,-100.0
LLY,1.0441582107684495,-100.0
LNC,3.7356385537766355,-100.0
LIN,2.5632362776041275,-100.0
LYV,4.018015028197651,-100.0
LKQ,2.4561385662235016,-100.0
LMT,2.664948988748942,-100.0
L,2.0616563841345643,-100.0
LOW,3.6214401742780646,-100.0
LUMN,2.2637411516122854,-100.0
LYB,4.051972110341163,-100.0
MTB,2.7610033269163443,-100.0
MRO,5.871210804190351,-100.0
MPC,4.064111952521612,-100.0
MKTX,2.73685715856274,-100.0
MAR,2.952233865728998,-100.0
MMC,2.3479053683088673,-100.0
MLM,1.894476142358536,-100.0
MAS,1.9781237746765752,-100.0
MA,4.609580012460138,-100.0
MKC,1.8066070822871079,-100.0
MXIM,3.762085068277465,-100.0
MCD,1.8926698158229638,-100.0
MCK,2.7320973662301506,-100.0
MDT,1.9762872538564729,-100.0
MRK,2.9334431141901223,-100.0
MET,2.136431795902028,-100.0
MTD,3.3315659755837075,-100.0
MGM,4.225713299709087,-100.0
MCHP,6.310641037440009,-100.0
MU,4.264521069534726,-100.0
MSFT,1.3622892681656256,-100.0
MAA,3.6581038010071687,-100.0
MHK,3.714684973229895,-100.0
TAP,4.349656951109694,-100.0
MDLZ,0.9695314916279082,-100.0
MPWR,3.844558944253415,-100.0
MNST,1.4539259240367333,-100.0
MCO,1.1905223512824405,-100.0
MS,2.714986539367628,-100.0
MOS,3.9294568989957384,-100.0
MSI,2.4655721880610146,-100.0
MSCI,2.0726261765976783,-100.0
NDAQ,2.1142003525046795,-100.0
NTAP,2.2889820303204576,-100.0
NFLX,2.304486862043733,-100.0
NWL,1.6877657813896034,-100.0
NEM,1.559706086713679,-100.0
NWSA,3.4766366548627334,-100.0
NWS,2.787880945687342,-100.0
NEE,3.6682840199570856,-100.0
NLSN,2.840465060565368,-100.0
NKE,5.423958675715869,-100.0
NI,2.3890761654579333,-100.0
NSC,1.9721600862894533,-100.0
NTRS,2.6427300848058217,-100.0
NOC,2.6268869606561274,-100.0
NLOK,1.85980595978705,-100.0
NCLH,6.858168119390571,-100.0
NOV,3.6935702194253284,-100.0
NRG,3.1379007216949057,-100.0
NUE,5.010252068436539,-100.0
NVDA,2.4499475424306243,-100.0
NVR,4.736764301210855,-100.0
ORLY,2.5001060917501783,-100.0
OXY,6.966287078106282,-100.0
ODFL,2.903870640538674,-100.0
OMC,1.7890037758579733,-100.0
OKE,3.9514934503333294,-100.0
ORCL,1.3342388431314167,-100.0
OTIS,2.059535201021137,-100.0
PCAR,2.4348556110188535,-100.0
PKG,2.986212644885467,-100.0
PH,2.4066121583332256,-100.0
PAYX,2.0781096693570587,-100.0
PAYC,3.872764725378994,-100.0
PYPL,2.538687171472416,-100.0
PNR,2.428878838209876,-100.0
PBCT,2.962965700110007,-100.0
PEP,2.141021325365239,-100.0
PKI,2.5369530900465134,-100.0
PRGO,2.5936643777261255,-100.0
PFE,0.9867450298163697,-100.0
PM,1.6371197394583725,-100.0
PSX,3.6347851172197165,-100.0
PNW,3.3939217377524793,-100.0
PXD,4.350861710913291,-100.0
PNC,2.233449750556424,-100.0
POOL,3.113998149776337,-100.0
PPG,1.337589107163985,-100.0
PPL,3.16368665305243,-100.0
PFG,2.683997480651391,-100.0
PG,1.4386270096430416,-100.0
PGR,2.3009020291309428,-100.0
