stock,delta_percent,delta_price
BLK,0.39344720931577937,-100.0
BA,1.373637295624872,-100.0
BKNG,1.0865010932120192,-100.0
BWA,2.5179072174867643,-100.0
BXP,0.6151993817314334,-100.0
BSX,0.4208307351017863,-100.0
BMY,0.4437442167434866,-100.0
AVGO,0.4738112759337439,-100.0
BR,0.89717775681074,-100.0
BF.B,-100.0,0
CHRW,0.595837025668076,-100.0
COG,1.1618017477344764,-100.0
CDNS,0.8729501874880549,-100.0
CZR,1.7291066282420748,-100.0
CPB,0.5681836017348502,-100.0
COF,1.2657181002789046,-100.0
CAH,0.5268548138801818,-100.0
KMX,0.693917695855355,-100.0
CCL,2.32123122607602,-100.0
CARR,1.1122019866824078,-100.0
CTLT,0.6788971227243406,-100.0
CAT,1.3930825354589194,-100.0
CBOE,0.5775760223366065,-100.0
CBRE,0.9305994906704739,-100.0
CDW,1.0488760424043257,-100.0
CE,0.7422692996939433,-100.0
CNC,0.46532560366532816,-100.0
CNP,0.5497060909426976,-100.0
CERN,0.3331452813985218,-100.0
CF,2.5641021316854697,-100.0
SCHW,0.8709137356385257,-100.0
CHTR,1.2467030493235896,-100.0
CVX,0.9136936603817046,-100.0
CMG,0.45939755722233727,-100.0
CB,0.8680116632158766,-100.0
CHD,0.6036242740268368,-100.0
CI,1.1572881867735494,-100.0
CINF,0.9881032237193372,-100.0
CTAS,0.34588772967123604,-100.0
CSCO,0.7204334631923328,-100.0
C,0.42223139968726464,-100.0
CFG,0.9052020969637853,-100.0
CTXS,0.6833399666250034,-100.0
CLX,0.649177030461043,-100.0
CME,0.6472840900994119,-100.0
CMS,0.29090004729206426,-100.0
KO,0.37379228775259327,-100.0
CTSH,0.37705535343210644,-100.0
CL,0.566834038645005,-100.0
CMCSA,0.5881269163567636,-100.0
CMA,0.8860249282660433,-100.0
CAG,0.4442073867569701,-100.0
COP,2.0182042724306686,-100.0
ED,0.26421193482963246,-100.0
STZ,0.7744494634988472,-100.0
COO,0.8565723076077195,-100.0
CPRT,1.220633115115563,-100.0
GLW,0.2939709279321257,-100.0
CTVA,0.9024455536810845,-100.0
COST,0.4402559641302166,-100.0
CCI,0.8421486635035408,-100.0
CSX,0.4404770355065195,-100.0
CMI,0.7069636835607888,-100.0
CVS,0.6451827498286681,-100.0
DHI,0.8314490176305253,-100.0
DHR,0.8335544851654101,-100.0
DRI,0.6814801251446759,-100.0
DVA,0.4837079317085283,-100.0
DE,0.7123889894565225,-100.0
DAL,1.7566402944802442,-100.0
XRAY,1.3272899174918877,-100.0
DVN,1.912072800579043,-100.0
DXCM,1.623775898170502,-100.0
FANG,2.4246718905832525,-100.0
DLR,0.6507746602782665,-100.0
DFS,0.5763273515832094,-100.0
DISCA,3.683666873507523,-100.0
DISCK,2.611877689041062,-100.0
DISH,1.220175569160987,-100.0
DG,0.6307197781618267,-100.0
DLTR,0.4922524435275261,-100.0
D,0.3400435410977093,-100.0
DPZ,0.34196748712248526,-100.0
DOV,0.5109236770189536,-100.0
DOW,0.5457028343191361,-100.0
DTE,0.34506690035314447,-100.0
DUK,0.24752837006669562,-100.0
DRE,0.9156652243740587,-100.0
DD,0.902317811418371,-100.0
DXC,1.1482453313692094,-100.0
EMN,0.52384557863086,-100.0
ETN,0.7693127870220756,-100.0
EBAY,0.6331240673392575,-100.0
ECL,0.9738419695075565,-100.0
EIX,0.3024856937036108,-100.0
EW,0.5875639434725574,-100.0
EA,0.8241143120219112,-100.0
EMR,0.3959817019285751,-100.0
ENPH,3.28967143208291,-100.0
ETR,0.28319230418392194,-100.0
EOG,1.4936600513015783,-100.0
EFX,0.6066835801213053,-100.0
EQIX,0.5245930747019374,-100.0
EQR,1.1314502436418867,-100.0
ESS,0.6906557085896387,-100.0
EL,0.2852304835753902,-100.0
